Employee ID,Start Date,Employment Status,COBRA Start Date,COBRA Termination Date,First Name,Last Name,Social Security Number,Relationship,Email,Mobile Number,Date Of Birth,Gender,,Address Line 1,Address Line 2,City,State,State,Zip,Benefit Class,Division,Division,Medical Insurance Plan Name,Medical Group ID,Medical Plan Member ID,Medical Plan Effective Date,Medical Plan Termination Date,Dental Insurance Plan Name,Dental Group ID,Dental Plan Effective Date,Dental Plan Termination Date,Vision Insurance Plan Name,Vision Group ID,Vision Member ID,Vision Plan Effective Date,Vision Plan Termination Date
E011,2016-09-19,Active,,,Marcus,Ellis,478-93-5502,Member,marcus.ellis@example.com,512-980-2240,1983-10-12,Male,,509 Congress Ave,,Austin,TX,TX,78701,,,,BlueShield Platinum,,MBR-232990,2016-09-25,,Cigna Dental Plus,,2016-09-25,,VSP Advantage,,478935502,2016-09-25,
E012,2021-06-14,Active,,,Hannah,Lopez,601-23-7714,Member,hannah.lopez@example.com,480-540-8822,1993-07-08,Female,,1900 W University Dr,Apt 45,Tempe,AZ,AZ,85281,,,,Kaiser HMO,,MBR-438233,2021-06-20,,Delta Dental Premier,,2021-06-20,,EyeMed Advantage,,601237714,2021-06-20,
E013,,,,,Jacob,Lopez,590-12-9932,Spouse,jacob.reed@example.com,702-312-7764,1989-05-18,Male,,3200 Paradise Rd,,Las Vegas,NV,NV,89109,,,,,,,,,,,,,,,,,
E014,2020-02-27,Active,,,Sofia,Garcia,403-90-6621,Member,sofia.garcia@example.com,305-844-9031,1995-09-22,Female,,940 Brickell Ave,,Miami,FL,FL,33131,,,,BlueCross Silver,,MBR-992003,2020-03-01,,Delta Dental Premier,,2020-03-01,,VSP Choice,,,2020-03-01,
E014,,,,,William,Garcia,479-38-1257,Spouse,william.turner@example.com,206-778-3445,1984-06-05,Male,,905 Pine St,,Seattle,WA,WA,98101,,,,,,,,,,,,,,,,,
E014,,,,,Emily,Garcia,601-51-2214,Child,emily.foster@example.com,615-430-9991,2030-03-13,Female,,512 Broadway,,Nashville,TN,TN,37203,,,,,,,,,,,,,,,,,
E014,,,,,Liam,Garcia,493-21-9050,Child,liam.green@example.com,414-332-8891,2000-10-09,Male,,440 E Wisconsin Ave,,Milwaukee,WI,WI,53202,,,,,,,,,,,,,,,,,
,2023-04-03,Active,,,Ava,Morgan,522-77-1310,Member,ava.morgan@example.com,516-555-3112,1999-07-16,Female,,80 Northern Blvd,,Great Neck,NY,NY,11021,,,,Kaiser HMO,,MBR-550928,2023-04-07,,Cigna Dental Plus,,2023-04-07,,EyeMed Advantage,,,2023-04-07,
E019,2017-10-23,Terminated,2023-05-01,2023-11-01,Noah,Stevens,401-11-9302,Member,noah.stevens@example.com,925-770-2083,1981-02-10,Male,,1224 Main St,,Walnut Creek,CA,CA,94596,,,,BlueCross Silver,,MBR-771331,2025-11-01,2023-04-30,Guardian Dental,,2017-11-01,2023-04-30,VSP Basic,,,2017-11-01,2023-04-30
E020,2022-05-16,Active,,,Zoe,Hamilton,522-43-1199,Member,zoe.hamilton@example.com,904-441-2340,1994-05-02,Female,,113 King St,,St Augustine,FL,FL,32084,,,,Kaiser HMO,,MBR-409211,2022-05-20,,Delta Dental Premier,,2022-05-20,,EyeMed Core,,,2022-05-20,
E020,,,,,Isabella,Hamilton,598-42-3004,Spouse,isabella.scott@example.com,312-644-8890,1987-01-19,Female,,15 E Ohio St,,Chicago,IL,IL,60611,,,,,,,,,,,,,,,,,
E022,2018-01-22,Active,,,Alexander,Hall,477-19-5520,Member,alex.hall@example.com,925-821-9944,1985-08-25,Male,,2900 Camino Ramon,,San Ramon,CA,CA,94583,,,,BlueShield Gold,,MBR-338230,2018-01-26,,Delta Dental Premier,,2018-01-26,,EyeMed Advantage,,,2018-01-26,
E022,,,,,Ella,Hall,600-31-2208,Spouse,ella.brooks@example.com,303-908-5530,1993-11-05,Female,,700 17th St,,Denver,CO,CO,80202,,,,,,,,,,,,,,,,,
